iter	Passed	Remaining
752	63599	360648
753	63684	360566
754	63768	360482
755	63853	360401
756	63937	360315
757	64019	360215
758	64101	360118
759	64183	360019
760	64266	359925
761	64351	359845
762	64434	359750
763	64517	359659
764	64600	359567
765	64683	359474
766	64766	359381
767	64849	359288
768	64931	359189
769	65016	359107
770	65098	359012
771	65181	358918
772	65262	358818
773	65346	358732
774	65431	358648
775	65514	358558
776	65598	358468
777	65679	358368
778	65763	358279
779	65847	358191
780	65932	358112
781	66017	358028
782	66102	357951
783	66188	357873
784	66272	357786
785	66356	357699
786	66441	357617
787	66523	357522
788	66606	357429
789	66689	357338
790	66773	357248
791	66858	357169
792	66940	357073
793	67023	356981
794	67106	356887
795	67189	356796
796	67273	356707
797	67354	356608
798	67436	356509
799	67518	356415
800	67600	356317
801	67684	356228
802	67767	356139
803	67850	356048
804	67932	355949
805	68013	355846
806	68093	355740
807	68177	355652
808	68258	355551
809	68341	355457
810	68429	355392
811	68518	355333
812	68605	355264
813	68687	355165
814	68769	355068
815	68850	354970
816	68932	354872
817	69014	354773
818	69098	354690
819	69182	354601
820	69267	354519
821	69350	354431
822	69432	354335
823	69516	354247
824	69599	354155
825	69685	354078
826	69768	353986
827	69850	353892
828	69935	353809
829	70015	353707
830	70098	353615
831	70182	353526
832	70264	353433
833	70347	353340
834	70432	353260
835	70517	353176
836	70599	353081
837	70684	352999
838	70767	352908
839	70850	352818
840	70935	352736
841	71016	352635
842	71097	352535
843	71180	352442
844	71269	352382
845	71343	352245
846	71416	352105
847	71493	351985
848	71575	351892
849	71658	351801
850	71740	351705
851	71823	351614
852	71906	351522
853	71990	351438
854	72074	351351
855	72157	351260
856	72250	351220
857	72324	351087
858	72400	350963
859	72483	350872
860	72564	350771
861	72648	350684
862	72729	350582
863	72811	350488
864	72894	350399
865	72978	350313
866	73061	350221
867	73143	350127
868	73227	350042
869	73312	349959
870	73384	349817
871	73461	349698
872	73537	349574
873	73607	349425
874	73683	349301
875	73769	349223
876	73853	349140
877	73940	349071
878	74024	348986
879	74107	348892
880	74193	348817
881	74276	348727
882	74359	348637
883	74442	348548
884	74526	348465
885	74612	348385
886	74693	348287
887	74775	348194
888	74858	348104
889	74940	348011
890	75023	347920
891	75106	347831
892	75190	347746
893	75273	347657
894	75360	347583
895	75445	347503
896	75528	347416
897	75613	347335
898	75696	347244
899	75779	347153
900	75860	347056
901	75943	346964
902	76025	346872
903	76109	346786
904	76193	346699
905	76274	346603
906	76356	346510
907	76440	346421
908	76525	346342
909	76615	346284
910	76699	346198
911	76782	346112
912	76868	346034
913	76953	345953
914	77036	345864
915	77120	345778
916	77205	345699
917	77290	345616
918	77373	345529
919	77454	345428
920	77536	345334
921	77618	345244
922	77700	345150
923	77783	345060
924	77865	344963
925	77947	344871
926	78028	344775
927	78109	344674
928	78191	344581
929	78274	344491
930	78344	344346
931	78417	344211
932	78495	344103
933	78573	343988
934	78658	343909
935	78745	343836
936	78822	343724
937	78898	343603
938	78975	343486
939	79049	343362
940	79125	343240
941	79202	343125
942	79281	343022
943	79357	342901
944	79434	342785
945	79511	342672
946	79589	342564
947	79665	342443
948	79743	342335
949	79818	342212
950	79895	342098
951	79973	341985
952	80050	341874
953	80122	341738
954	80200	341629
955	80278	341521
956	80357	341414
957	80435	341306
958	80510	341183
959	80587	341070
960	80666	340964
961	80746	340864
962	80822	340746
963	80900	340637
964	80976	340519
965	81051	340399
966	81130	340292
967	81207	340182
968	81287	340081
969	81364	339968
970	81443	339865
971	81522	339758
972	81597	339638
973	81676	339536
974	81756	339437
975	81834	339328
976	81913	339224
977	81989	339109
978	82067	338999
979	82146	338894
980	82222	338780
981	82301	338676
982	82381	338578
983	82459	338469
984	82536	338357
985	82615	338252
986	82692	338143
987	82770	338036
988	82849	337930
989	82929	337832
990	83008	337728
991	83088	337629
992	83165	337519
993	83243	337411
994	83322	337308
995	83400	337200
996	83475	337085
997	83555	336984
998	83635	336885
999	83713	336780
1000	83792	336677
1001	83869	336565
1002	83948	336464
1003	84027	336361
1004	84106	336258
1005	84185	336155
1006	84262	336046
1007	84341	335942
1008	84422	335849
1009	84502	335751
1010	84582	335653
1011	84660	335547
1012	84739	335443
1013	84817	335339
1014	84897	335240
1015	84976	335139
1016	85053	335028
1017	85133	334930
1018	85209	334817
1019	85285	334704
1020	85366	334610
1021	85443	334498
1022	85522	334397
1023	85600	334292
1024	85678	334189
1025	85757	334087
1026	85837	333988
1027	85914	333880
1028	85993	333779
1029	86075	333687
1030	86154	333587
1031	86234	333489
1032	86313	333387
1033	86392	333289
1034	86475	333200
1035	86559	333119
1036	86642	333033
1037	86721	332935
1038	86801	332836
1039	86882	332743
1040	86959	332633
1041	87038	332532
1042	87114	332421
1043	87193	332322
1044	87271	332214
1045	87347	332105
1046	87428	332011
1047	87507	331911
1048	87586	331810
1049	87666	331712
1050	87744	331608
1051	87823	331510
1052	87904	331415
1053	87983	331315
1054	88061	331212
1055	88140	331111
1056	88220	331015
1057	88291	330884
1058	88366	330769
1059	88449	330682
1060	88531	330594
1061	88614	330510
1062	88699	330434
1063	88784	330355
1064	88868	330274
1065	88949	330182
1066	89032	330096
1067	89118	330023
1068	89201	329937
1069	89284	329850
1070	89366	329764
1071	89449	329677
1072	89532	329593
1073	89616	329511
1074	89703	329442
